# Iranian Proxies — checked 2026-03-22 22:22 UTC
# Live-verified working: 0
# Total CIDR-confirmed Iranian IPs: 238
# TCP stats: ok=9 refused=3 timeout=226
# NOTE: Most timeouts = GitHub Actions (Azure) cannot reach Iranian IPs.
#       Test the 'All CIDR-confirmed' section locally for accurate results.
#

# === NO LIVE-VERIFIED PROXIES (likely Azure routing block) ===



# === ALL CIDR-CONFIRMED IRANIAN IPs (unverified, sorted by source) ===
# These are in Iranian IP ranges — test locally with:
#   python check_proxies.py  (run on a non-Azure VPS or your local machine)

217.218.242.75:5678         # proxifly_IR
87.107.74.39:1028           # proxifly_IR
185.239.1.63:3128           # proxyscrape_http
194.48.198.135:7070         # proxyscrape_http
80.75.213.22:3138           # proxyscrape_http
45.86.7.235:8080            # proxyscrape_http
31.25.92.114:8080           # proxyscrape_http
94.74.163.195:80            # gh_ercindedeoglu_http
185.49.96.94:8080           # gh_ercindedeoglu_http
85.185.238.74:8080          # gh_ercindedeoglu_http
31.7.70.215:3128            # gh_ercindedeoglu_http
195.137.167.61:80           # gh_ercindedeoglu_http
185.186.242.135:3128        # gh_ercindedeoglu_http
195.137.167.1:80            # gh_ercindedeoglu_http
213.176.18.99:443           # openray_all
195.137.167.49:80           # gh_ercindedeoglu_http
195.137.167.27:80           # gh_ercindedeoglu_http
94.182.156.206:8080         # gh_razvan_s5
37.32.40.178:80             # gh_ercindedeoglu_http
195.137.167.107:80          # gh_ercindedeoglu_http
185.83.182.197:443          # proxifly_http
94.101.187.3:3128           # gh_aslisk_s5
5.202.191.225:80            # gh_speedx_http
80.191.106.129:8081         # gh_ercindedeoglu_http
195.137.167.47:80           # gh_ercindedeoglu_http
195.137.167.55:80           # gh_ercindedeoglu_http
217.219.74.130:8888         # gh_ercindedeoglu_http
46.249.123.146:514          # gh_ercindedeoglu_http
80.191.40.41:5678           # proxifly_s4
185.49.107.172:8080         # gh_ercindedeoglu_http
195.137.167.38:80           # gh_ercindedeoglu_http
5.200.132.11:8080           # gh_ercindedeoglu_http
195.137.167.31:80           # gh_ercindedeoglu_http
195.137.167.35:80           # gh_ercindedeoglu_http
185.112.151.207:8022        # gh_aslisk_s5
195.137.167.63:80           # gh_ercindedeoglu_http
195.137.167.42:80           # gh_ercindedeoglu_http
188.136.162.9:7060          # gh_ercindedeoglu_http
81.12.40.253:8080           # gh_ercindedeoglu_http
37.32.11.117:3128           # gh_ercindedeoglu_http
80.249.112.162:80           # gh_ercindedeoglu_http
89.165.40.8:443             # gh_ercindedeoglu_http
195.137.167.68:80           # gh_ercindedeoglu_http
195.137.167.11:80           # gh_ercindedeoglu_http
87.107.73.238:80            # gh_ercindedeoglu_http
84.241.8.234:8080           # gh_ercindedeoglu_http
195.137.167.64:80           # gh_ercindedeoglu_http
185.93.89.155:18614         # gh_ercindedeoglu_s5
195.137.167.60:80           # gh_ercindedeoglu_http
217.66.207.3:33333          # proxifly_s4
94.74.163.220:80            # gh_ercindedeoglu_http
94.74.163.218:80            # gh_ercindedeoglu_http
45.135.241.107:80           # gh_ercindedeoglu_http
91.108.130.111:32650        # gh_ercindedeoglu_http
37.255.209.220:8000         # gh_ercindedeoglu_http
195.137.167.58:80           # gh_ercindedeoglu_http
195.137.167.10:80           # gh_ercindedeoglu_http
195.137.167.26:80           # gh_ercindedeoglu_http
195.137.167.6:80            # gh_ercindedeoglu_http
195.137.167.43:80           # gh_ercindedeoglu_http
185.93.89.171:4845          # gh_speedx_s5
212.33.205.42:8118          # gh_ercindedeoglu_http
193.176.242.186:80          # gh_speedx_http
217.219.121.66:3128         # gh_ercindedeoglu_http
195.137.167.24:80           # gh_ercindedeoglu_http
95.38.245.214:80            # gh_ercindedeoglu_http
195.137.167.7:80            # gh_ercindedeoglu_http
185.103.87.30:8081          # gh_speedx_http
81.90.149.188:3128          # gh_aslisk_s5
195.137.167.66:80           # gh_ercindedeoglu_http
85.9.103.64:80              # gh_ercindedeoglu_http
195.137.167.39:80           # gh_ercindedeoglu_http
217.219.28.114:3128         # gh_ercindedeoglu_http
185.4.29.243:7887           # gh_aslisk_s5
194.150.69.56:8888          # gh_ercindedeoglu_http
46.102.143.103:3128         # gh_ercindedeoglu_http
195.137.167.36:80           # gh_ercindedeoglu_http
87.247.186.157:3128         # gh_ercindedeoglu_http
109.230.69.177:8080         # gh_ercindedeoglu_http
195.137.167.62:80           # gh_ercindedeoglu_http
62.60.156.252:8085          # openray_all
195.137.167.41:80           # gh_ercindedeoglu_http
195.137.167.20:80           # gh_ercindedeoglu_http
185.229.30.32:8080          # gh_ercindedeoglu_http
87.247.186.40:1080          # gh_ercindedeoglu_http
87.248.130.39:80            # gh_ercindedeoglu_http
37.32.15.125:6888           # gh_ercindedeoglu_http
195.137.167.17:80           # gh_ercindedeoglu_http
213.207.195.178:8080        # gh_speedx_http
176.65.240.15:80            # gh_ercindedeoglu_http
81.12.40.250:8080           # gh_ercindedeoglu_http
62.60.217.190:8443          # openray_all
185.105.185.185:3128        # gh_ercindedeoglu_http
5.239.245.61:80             # gh_ercindedeoglu_http
37.152.178.0:3128           # gh_ercindedeoglu_http
213.176.67.68:8082          # openray_all
195.137.167.109:80          # gh_ercindedeoglu_http
195.137.167.8:80            # gh_ercindedeoglu_http
81.91.139.76:80             # gh_ercindedeoglu_http
195.137.167.59:80           # gh_ercindedeoglu_http
195.137.167.40:80           # gh_ercindedeoglu_http
62.60.214.75:8081           # gh_ercindedeoglu_http
217.219.30.227:6565         # gh_ercindedeoglu_http
217.219.173.237:8080        # gh_aslisk_s5
195.137.167.33:80           # gh_ercindedeoglu_http
185.143.234.28:8080         # sunny9577
213.233.176.74:3128         # gh_ercindedeoglu_http
178.252.170.222:3128        # gh_ercindedeoglu_http
94.182.177.92:80            # proxifly_http
5.34.195.90:80              # gh_ercindedeoglu_http
5.57.37.17:8080             # gh_ercindedeoglu_http
195.137.167.34:80           # gh_ercindedeoglu_http
195.137.167.51:80           # gh_ercindedeoglu_http
85.133.137.91:3128          # gh_ercindedeoglu_http
185.220.226.108:3128        # gh_ercindedeoglu_s5
185.239.1.63:3129           # gh_ercindedeoglu_s5
188.121.118.32:80           # gh_ercindedeoglu_http
